tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:12.474120 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.494637 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.559137 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.582460 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.637941 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.663348 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.719723 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.746660 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.804084 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.826349 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.890733 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.916216 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.972643 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.003169 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.060637 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.088077 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.139477 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.166927 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.218257 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.256792 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.294186 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.331713 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.370131 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.409578 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.450954 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.491567 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.538997 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.567485 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.620921 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.656421 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.706817 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.736322 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.795643 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.820122 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.874433 eth1  Out IP 10.0.29.2.55704 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.898895 eth1  In  IP 10.0.29.3.44962 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
