tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:00.630587 eth2  In  IP 10.0.23.2.41179 > 10.0.23.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.631664 eth1  In  IP 10.0.13.2.32837 > 10.0.13.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.634886 eth2  Out IP 10.0.23.3.59324 > 10.0.23.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.657070 eth0  Out IP 10.0.35.2.59307 > 10.0.35.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.678401 eth0  In  IP 10.0.35.3.48498 > 10.0.35.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.694603 eth1  Out IP 10.0.13.3.42552 > 10.0.13.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.703995 eth3  In  IP 10.0.34.3.57107 > 10.0.34.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.709193 eth3  Out IP 10.0.34.2.38096 > 10.0.34.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.713936 eth1  In  IP 10.0.13.2.32837 > 10.0.13.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.715107 eth2  Out IP 10.0.23.3.59324 > 10.0.23.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.720253 eth2  In  IP 10.0.23.2.41179 > 10.0.23.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.738461 eth0  Out IP 10.0.35.2.59307 > 10.0.35.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.765835 eth0  In  IP 10.0.35.3.48498 > 10.0.35.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.774035 eth1  Out IP 10.0.13.3.42552 > 10.0.13.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.792344 eth1  In  IP 10.0.13.2.32837 > 10.0.13.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.792441 eth3  Out IP 10.0.34.2.38096 > 10.0.34.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.793581 eth3  In  IP 10.0.34.3.57107 > 10.0.34.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.798837 eth2  Out IP 10.0.23.3.59324 > 10.0.23.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.807079 eth2  In  IP 10.0.23.2.41179 > 10.0.23.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.820340 eth0  Out IP 10.0.35.2.59307 > 10.0.35.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.849909 eth0  In  IP 10.0.35.3.48498 > 10.0.35.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.853135 eth1  Out IP 10.0.13.3.42552 > 10.0.13.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.875334 eth2  Out IP 10.0.23.3.59324 > 10.0.23.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.881479 eth3  In  IP 10.0.34.3.57107 > 10.0.34.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.881507 eth3  Out IP 10.0.34.2.38096 > 10.0.34.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.881572 eth1  In  IP 10.0.13.2.32837 > 10.0.13.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.893554 eth2  In  IP 10.0.23.2.41179 > 10.0.23.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.906758 eth0  Out IP 10.0.35.2.59307 > 10.0.35.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.931344 eth0  In  IP 10.0.35.3.48498 > 10.0.35.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.938558 eth1  Out IP 10.0.13.3.42552 > 10.0.13.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.959969 eth1  In  IP 10.0.13.2.32837 > 10.0.13.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.960067 eth2  Out IP 10.0.23.3.59324 > 10.0.23.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.960839 eth3  In  IP 10.0.34.3.57107 > 10.0.34.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:00.966987 eth3  Out IP 10.0.34.2.38096 > 10.0.34.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
