tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:10.182752 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 99:147, ack 55, win 63, options [nop,nop,TS val 627106443 ecr 397957494], length 48: BGP
 00:00:10.182807 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 147, win 64, options [nop,nop,TS val 397957799 ecr 627106443], length 0
 00:00:10.183050 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [P.], seq 55:82, ack 147, win 64, options [nop,nop,TS val 397957799 ecr 627106443], length 27: BGP
 00:00:10.183060 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [.], ack 82, win 63, options [nop,nop,TS val 627106443 ecr 397957799], length 0
 00:00:10.183884 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 147:192, ack 82, win 63, options [nop,nop,TS val 627106444 ecr 397957799], length 45: BGP
 00:00:10.225453 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 192, win 64, options [nop,nop,TS val 397957842 ecr 627106444], length 0
 00:00:10.862403 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Init, Flags: [none], length: 24
 00:00:10.862647 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.862741 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.862762 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.862888 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.940193 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.951443 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.022857 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.038091 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.099512 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.123922 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.188339 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.207893 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.267284 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.286732 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.343112 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.363417 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.429801 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.445057 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.508444 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.532691 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.589024 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.609275 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.664701 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.684065 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.749444 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.766680 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.825100 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.846440 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.914793 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.929011 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.002401 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.017666 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.090164 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.099439 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.165866 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.181112 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.241505 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.255800 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.321187 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.333454 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.405845 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.420916 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.492316 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.501667 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.572122 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.581424 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.660860 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.668147 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.741553 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.752820 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.817227 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.828488 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.901148 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.905379 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.980549 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.985926 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.067929 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.071243 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.155619 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.161025 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.238053 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.248532 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.315210 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.327758 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.401610 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.402900 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
