tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:10.127613 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 80:128, ack 55, win 63, options [nop,nop,TS val 625355213 ecr 396198478], length 48: BGP
 00:00:10.127815 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Down, Flags: [none], length: 24
 00:00:10.128039 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [P.], seq 55:82, ack 128, win 64, options [nop,nop,TS val 396206570 ecr 625355213], length 27: BGP
 00:00:10.128067 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 128:173, ack 82, win 63, options [nop,nop,TS val 625355214 ecr 396206570], length 45: BGP
 00:00:10.169909 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 173, win 64, options [nop,nop,TS val 396206612 ecr 625355214], length 0
 00:00:10.663916 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Init, Flags: [none], length: 24
 00:00:10.664125 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.664253 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.664293 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [Poll], length: 24
 00:00:10.664390 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [Final], length: 24
 00:00:10.742609 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.749811 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.821145 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.830342 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.906713 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.917975 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.992345 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:10.998673 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
